Name	Date
KY026454.1	2001-6-19
MF143232.2	2001-6-21
KY026455.1	2001-7-3
KY026457.1	2001-8-8
KY026458.1	2001-8-24
KY026447.1	2001-12-13
KY026448.1	2001-12-13
KY026459.1	2002-5-29
MF143234.2	2002-5-30
KY026460.1	2002-6-21
KY026461.1	2002-10-2
KY026462.1	2002-10-24
KY026463.1	2002-11-5
KY026464.1	2003-2-21
KY026465.1	2003-3-19
KY026466.1	2003-4-14
KY026467.1	2003-4-17
KY026468.1	2003-4-22
KY026469.1	2003-5-5
KY026470.1	2003-5-12
KY026471.1	2003-6-10
KY026472.1	2003-6-30
KY026473.1	2004-8-13
KY026474.1	2004-8-13
KY026475.1	2004-8-31
KY026476.1	2004-9-22
KY026477.1	2005-9-22
MF143341.2	2006-6-2
MF143342.2	2006-9-6
MF143343.2	2006-11-15
MF143260.2	2007-5-11
MF143262.2	2007-6-13
MF143347.2	2007-6-13
MF143348.2	2007-6-13
MF143349.2	2007-6-13
MF143350.2	2007-6-13
MF143263.2	2007-6-14
MF143264.2	2007-6-16
MF143266.2	2007-6-29
MF143352.2	2007-7-3
MF143353.2	2007-7-5
MF143267.2	2007-7-14
MF143268.2	2007-7-15
MF143269.2	2007-7-19
MF143259.2	2007-8-1
MF143344.2	2007-8-2
MF143270.2	2007-8-3
MF143354.2	2007-8-23
MF143345.2	2007-8-29
MF143346.2	2007-8-30
MF143355.2	2007-9-21
MF143356.2	2007-10-11
MF143256.2	2007-10-20
MF143357.2	2007-11-1
MF143360.2	2007-11-19
MF143272.2	2008-3-4
MF143361.2	2008-3-17
MF143362.2	2008-3-21
MF143363.2	2008-4-15
MF143273.2	2008-5-7
MF143274.2	2008-5-8
MF143364.2	2008-5-13
MF143366.2	2008-6-16
MF143368.2	2008-8-25
MF143369.2	2008-9-3
MF143370.2	2008-9-17
MF143371.2	2008-9-20
MF143235.2	2014-6-2
MK540800.1	2015-1-1
MK540801.1	2015-1-1
MK540802.1	2015-1-1
MK540803.1	2015-1-1
MF143236.2	2015-1-22
MF143237.2	2015-3-3
MF143238.2	2015-3-4
MF143239.2	2015-3-4
MF143240.2	2015-3-10
MF143241.2	2015-3-10
MF143242.2	2015-3-18
MF143244.2	2015-3-19
MF143245.2	2015-4-14
MF143247.2	2015-5-7
MF143277.2	2015-6-4
MF143248.2	2015-6-23
MF143249.2	2015-7-14
MF143250.2	2015-7-14
MF143252.2	2015-8-6
MF143253.2	2015-8-18
MF143254.2	2015-9-1
MF143255.2	2015-12-4
MK540805.1	2016-1-1
MK540806.1	2016-1-1
MK540808.1	2016-1-1
MK540809.1	2016-1-1
MK540810.1	2016-1-1
MK540811.1	2016-1-1
MK540813.1	2016-1-1
MK540815.1	2016-1-1
MK540818.1	2016-1-1
MK540820.1	2016-1-1
MK540823.1	2016-1-1
MK540825.1	2016-1-1
MK540826.1	2016-1-1
MK540827.1	2016-1-1
MK540828.1	2016-1-1
MK540829.1	2016-1-1
MK540830.1	2016-1-1
MK540831.1	2016-1-1
MK540832.1	2016-1-1
MK540834.1	2016-1-1
MK540837.1	2016-1-1
MK540838.1	2016-1-1
MK540839.1	2016-1-1
MK540840.1	2016-1-1
MK540842.1	2016-1-1
MK540844.1	2016-1-1
MK540846.1	2016-1-1
MK540847.1	2016-1-1
MK540848.1	2016-1-1
MK540850.1	2016-1-1
MK540851.1	2016-1-1
MK540852.1	2016-1-1
MK540853.1	2016-1-1
MK540854.1	2016-1-1
MK540855.1	2016-1-1
MK540856.1	2016-1-1
MK540857.1	2016-1-1
MK540859.1	2016-1-1
MK540860.1	2016-1-1
MK540864.1	2016-1-1
MK540865.1	2016-1-1
MK540868.1	2016-1-1
MK540869.1	2016-1-1
MK540872.1	2017-1-1
MK540873.1	2017-1-1
MK540874.1	2017-1-1
MK540875.1	2017-1-1
MK540876.1	2017-1-1
MK540878.1	2017-1-1
MK540879.1	2017-1-1
MK540882.1	2017-1-1
MN233947.1	1990-1-1
LT598537.1	1977-1-1
MN233948.1	1990-1-1
MN233949.1	1990-1-1
KU198461.1	1990-1-1
KU198464.1	1991-1-1
MN233950.1	1992-1-1
MN233951.1	1993-1-1
MN233952.1	1993-1-1
MN233953.1	1993-1-1
MN233954.1	1993-1-1
MN233955.1	1993-1-1
MN233956.1	1993-1-1
MN233957.1	1993-1-1
MN234016.1	1993-1-1
KU198466.1	1993-1-1
MN233958.1	1994-1-1
MN234013.1	1995-1-1
MN234017.1	1996-1-1
KU198467.1	1997-1-1
MN233960.1	1998-1-1
MN233974.1	1999-1-1
MN233975.1	1999-1-1
MN234018.1	1999-1-1
MN233963.1	2001-1-1
MN233977.1	2002-1-1
MN234023.1	2002-1-1
MN233978.1	2004-1-1
MN233980.1	2005-1-1
MN233981.1	2005-1-1
MN233966.1	2006-1-1
MN233982.1	2006-1-1
MN233983.1	2006-1-1
MN233967.1	2007-1-1
MN233985.1	2007-1-1
MN233986.1	2007-1-1
MN233987.1	2007-1-1
MN233968.1	2008-1-1
MN233969.1	2008-1-1
MN233988.1	2008-1-1
MN233970.1	2012-1-1
MN233972.1	2012-1-1
MN233990.1	2012-1-1
MN233991.1	2012-1-1
MN233992.1	2012-1-1
MN233993.1	2012-1-1
MN234036.1	2012-1-1
MN234038.1	2012-1-1
MN234042.1	2012-1-1
MN234043.1	2012-1-1
MN234046.1	2012-1-1
KU198472.1	2012-1-1
MN233973.1	2013-1-1
MN233994.1	2013-1-1
MN233995.1	2013-1-1
KU198475.1	2013-1-1
KU198476.1	2013-1-1
KU198477.1	2013-1-1
KU198478.1	2013-1-1
MN233998.1	2014-1-1
MN234000.1	2015-1-1
MN234002.1	2015-1-1
MN234003.1	2015-1-1
MN234004.1	2015-1-1
MN234006.1	2015-1-1
MN234054.1	2015-1-1
MN234008.1	2017-1-1
MN234009.1	2017-1-1
MN234010.1	2017-1-1
MN234055.1	2017-1-1
MK540888.1	1990-1-1
MK540889.1	1990-1-1
MK540895.1	1991-1-1
MK540898.1	1991-1-1
MK540899.1	1991-1-1
MK540900.1	1991-1-1
MK540901.1	1991-1-1
KU198465.1	1992-1-1
MK540903.1	1993-1-1
MK540904.1	1993-1-1
MK540905.1	1993-1-1
MK540906.1	1995-1-1
MK540908.1	1995-1-1
MK540909.1	1995-1-1
MK540910.1	1995-1-1
MK540911.1	1995-1-1
MN233906.1	1996-1-1
MN233907.1	1996-1-1
MN233908.1	1996-1-1
MN233909.1	1996-1-1
MN233910.1	1996-1-1
MN233911.1	1996-1-1
MN233912.1	1996-1-1
MK540914.1	1996-1-1
MK540915.1	1996-1-1
MK540916.1	1996-1-1
LT993242.1	1996-1-1
MN233959.1	1997-1-1
MK540930.1	1999-1-1
MK540934.1	1999-1-1
MN233961.1	2000-1-1
MN233962.1	2000-1-1
MN234014.1	2000-1-1
MN234021.1	2000-1-1
MK540943.1	2000-1-1
MK541012.1	2000-1-1
KU198468.1	2000-1-1
MN234022.1	2001-1-1
KU198469.1	2001-1-1
MN233913.1	2002-1-1
MN233914.1	2002-1-1
MN233915.1	2002-1-1
MN233976.1	2002-1-1
KU198470.1	2002-1-1
MN233916.1	2003-1-1
MN233917.1	2003-1-1
MN233918.1	2003-1-1
MN233919.1	2003-1-1
MN234025.1	2003-1-1
MN234026.1	2003-1-1
MK540962.1	2003-1-1
MK540963.1	2003-1-1
MN233920.1	2004-1-1
MN233921.1	2004-1-1
MN233922.1	2004-1-1
MN234028.1	2004-1-1
MN234029.1	2004-1-1
MN234030.1	2004-1-1
MN233903.1	2005-1-1
MN233979.1	2005-1-1
MK540967.1	2005-1-1
MK540969.1	2005-1-1
MN233965.1	2006-1-1
MN233984.1	2006-1-1
MK540973.1	2006-1-1
MF143359.2	2007-11-15
MN233989.1	2008-1-1
MK540985.1	2008-1-1
MN234031.1	2009-1-1
MK540987.1	2009-1-1
MK540991.1	2009-1-1
MN233904.1	2012-1-1
MN233924.1	2012-1-1
MN233925.1	2012-1-1
MN233926.1	2012-1-1
MN233927.1	2012-1-1
MN233928.1	2012-1-1
MN233929.1	2012-1-1
MN233930.1	2012-1-1
MN233931.1	2012-1-1
MN233932.1	2012-1-1
MN233933.1	2012-1-1
MN233934.1	2012-1-1
MN233935.1	2012-1-1
MN233936.1	2012-1-1
MN234040.1	2012-1-1
MN234044.1	2012-1-1
MN234048.1	2012-1-1
MN234049.1	2012-1-1
MN234050.1	2012-1-1
KU198473.1	2012-1-1
KU198479.1	2014-1-1
MN233938.1	2015-1-1
MN233940.1	2015-1-1
MN233941.1	2015-1-1
MN233942.1	2015-1-1
MN233944.1	2015-1-1
MN233945.1	2015-1-1
MN233999.1	2015-1-1
MN234001.1	2015-1-1
MN234052.1	2015-1-1
MN234007.1	2016-1-1
MK540843.1	2016-1-1
MK541004.1	2017-1-1
KF977826.1	2011-9-1
LT909543.1	1973-5-17
LT909530.1	1979-2-9
KY912036.1	2014-1-1
KC169986.1	2009-12-16
KC252633.1	2011-1-1
KC193267.1	2011-1-1
KR230089.1	2015-1-23
KR230090.1	2015-1-23
MN175989.1	2019-1-1
KY952219.1	2014-1-1
GQ412744.1	1931-1-1
JN234411.1	1931-1-1
GU345746.1	1992-1-1
GU358653.1	1994-1-1
JQ970481.1	2006-1-1
JQ970482.1	2006-1-1
GU345748.1	2006-1-1
JQ970486.1	2007-1-1
JQ970480.1	2008-1-1
JQ970483.1	2008-1-1
JN609295.1	2008-1-1
HQ450385.1	2008-1-1
FJ712193.1	2008-1-1
FJ712194.1	2008-1-1
FJ866835.1	2008-11-1
FJ866836.1	2008-11-1
KC977995.1	2009-1-1
JQ970484.1	2009-1-1
JQ970485.1	2009-1-1
JQ970487.1	2009-1-1
JQ730682.1	2010-1-1
KC252634.1	2011-1-1
KY175229.1	2012-1-1
KM272192.1	2012-1-1
MK567666.1	2013-3-1
KY982922.1	2014-1-1
KY997452.1	2014-1-1
KY451767.1	2015-1-1
KY952220.1	2016-1-1
KY964322.1	2016-1-1
MK689674.1	2017-10-15
MK689675.1	2017-10-15
MK689676.1	2017-10-15
MN186249.1	2018-1-1
MN186250.1	2018-1-1
OR400520.1	2023-1-1
KJ564280.1	2013-9-20
JQ647510.1	2011-9-17
JQ423952.1	2011-1-1
HQ317918.1	1956-1-1
EF564174.1	1956-1-1
GU345747.1	1986-1-1
EU643590.1	2006-1-1
KY982923.1	2012-1-1
KJ004416.1	2013-12-1
KY175230.1	2015-1-1
KY964323.1	2016-1-1
MH671332.1	2017-1-1
KY780299.1	2017-1-23
PP760425.1	2024-4-12
FJ712195.1	2008-1-1
FJ712196.1	2008-1-1
GU647092.1	2008-10-1
KC762941.1	2009-1-1
KF726852.1	2009-1-30
KF726853.1	2010-11-30
MT895954.1	2019-1-1
MT895955.1	2019-1-1
MT895956.1	2019-1-1
MT895958.1	2019-1-1
MT895959.1	2019-1-1
MT895960.1	2019-1-1
MT895964.1	2019-1-1
MT895967.1	2019-1-1
MK577649.1	2015-5-1
MH267792.1	2017-1-1
KM016899.1	2014-1-1
MW506940.1	2018-8-30
MW506939.1	2018-9-14
MW506938.1	2018-11-9
MW506937.1	2018-12-17
OK317992.1	2017-10-28
OK317995.1	2017-11-25
OK317998.1	2017-11-29
OK317999.1	2018-2-2
OK317996.1	2018-6-27
OK317993.1	2018-7-2
OK317994.1	2018-9-16
OK317997.1	2017-11-4
MG458315.1	1998-1-1
MG458316.1	1998-1-1
MG458317.1	1999-1-1
OL314495.1	2019-1-1
KX148101.1	1979-1-1
LT909537.1	2000-12-19
LT909551.1	1992-5-29
KP723638.1	2014-7-11
LT909538.1	1990-6-22
EU293115.1	1991-1-1
KU523255.1	2010-9-15
PP764242.1	2024-2-28
KX148100.1	2009-1-1
OQ603659.1	2022-1-1
OQ603661.1	2022-1-1
OQ603664.1	2022-1-1
OQ603680.1	2022-1-1
OQ603681.1	2022-1-1
OQ603682.1	2022-1-1
OQ603609.1	2022-1-1
OQ603610.1	2022-1-1
OQ603611.1	2022-1-1
OQ603612.1	2022-1-1
OQ603613.1	2022-1-1
OQ603614.1	2022-1-1
OQ603615.1	2022-1-1
OQ603616.1	2022-1-1
OQ603617.1	2022-1-1
OQ603618.1	2022-1-1
OQ603619.1	2022-1-1
OQ603620.1	2022-1-1
OQ603621.1	2022-1-1
OQ603622.1	2022-1-1
OQ603624.1	2022-1-1
OQ603625.1	2022-1-1
OQ603626.1	2022-1-1
OQ603627.1	2022-1-1
OQ603628.1	2022-1-1
OQ603629.1	2022-1-1
OQ603630.1	2022-1-1
OQ603631.1	2022-1-1
OQ603632.1	2022-1-1
OQ603633.1	2022-1-1
OQ603634.1	2022-1-1
OQ603635.1	2022-1-1
OQ603636.1	2022-1-1
OQ603637.1	2022-1-1
OQ603638.1	2022-1-1
OQ603639.1	2022-1-1
OQ603640.1	2022-1-1
OQ603641.1	2022-1-1
OQ603642.1	2022-1-1
OQ603643.1	2022-1-1
